Entry Name,GLP1R_3PA_GLP1_1 MaxLFQ Intensity,GLP1R_3PA_GLP1_2 MaxLFQ Intensity,GLP1R_3PA_GLP1_3 MaxLFQ Intensity,GLP1R_3PA_GLP1_4 MaxLFQ Intensity,GLP1R_3PA_VEH_1 MaxLFQ Intensity,GLP1R_3PA_VEH_2 MaxLFQ Intensity,GLP1R_3PA_VEH_3 MaxLFQ Intensity,GLP1R_3PA_VEH_4 MaxLFQ Intensity,GLP1R_WT_GLP1_1 MaxLFQ Intensity,GLP1R_WT_GLP1_2 MaxLFQ Intensity,GLP1R_WT_GLP1_3 MaxLFQ Intensity,GLP1R_WT_GLP1_4 MaxLFQ Intensity,GLP1R_WT_VEH_1 MaxLFQ Intensity,GLP1R_WT_VEH_2 MaxLFQ Intensity,GLP1R_WT_VEH_3 MaxLFQ Intensity,GLP1R_WT_VEH_4 MaxLFQ Intensity,NEG_1 MaxLFQ Intensity
RS7_RAT,4367867.5,4425447.0,4250888.0,4461110.5,4659140.5,4270861.5,4302973.0,4462944.0,4335832.5,4405085.0,4377335.5,4045024.2,4671689.0,4965493.0,4997186.0,4493768.0,5282038.5
PP1A_RAT,8883.485,6978.892,0.0,3604.408,7623.96,6861.7495,7020.477,5490.149,6371.6704,42058.96,42646.27,41221.91,39959.22,37679.85,32662.111,42641.977,0.0
PP1B_RAT,49877.26,45511.363,50064.867,46422.35,43327.05,51895.58,48206.703,45573.39,48815.953,44923.176,44844.484,42315.637,44311.812,41110.52,48520.543,44133.52,44067.285
PRS4_RAT,100553.086,102597.055,104752.05,100170.26,90831.95,102624.984,100665.34,96463.47,139786.52,142616.1,143742.97,146557.22,135903.2,132819.9,141885.64,139933.92,78576.82
PRS8_RAT,83278.125,87615.38,86843.836,87220.4,81869.99,83084.97,85390.94,82376.13,117848.09,122139.08,122009.086,124254.016,113641.25,118446.06,110939.63,116327.96,67422.75
RS8_RAT,848958.5,910980.3,870626.2,848602.0,917971.44,818713.2,866953.4,797433.25,721530.56,756917.75,812543.8,789392.4,725285.1,809030.44,777036.25,860794.0,803729.3
RS15A_RAT,2546798.8,2425757.5,2467518.0,2341959.2,2727658.8,2723582.2,2549614.5,2475061.5,2400087.0,2613451.2,2425708.2,2370964.2,2711553.0,2662346.0,2485172.2,2573721.0,3155619.2
RS16_RAT,5036169.5,5141870.5,5014919.5,5126000.5,5169747.5,4826318.5,5046953.0,4969355.5,5268497.5,4727621.0,4867829.5,4690096.5,5423397.5,5485213.0,5207723.0,5351130.0,11068075.0
1433E_RAT,304528.22,278367.75,279239.88,290148.94,248988.5,256535.83,263949.38,237229.69,280565.2,273142.1,270447.97,299831.53,269595.03,278772.3,267211.5,259051.33,242791.2
RS23_RAT,423529.94,452357.97,410162.12,455515.75,438153.5,442226.9,426051.94,443654.25,390097.84,421548.78,426023.0,410249.16,402868.7,403230.06,402445.12,430107.56,539821.7
